feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,label
-641.2581169238,72.3670670822,4.8192655984,13.4318541591,13.1283887584,-0.0642049693,3.9980429433,0.2399819409,-3.5932296276,0.8766460277,-0.8336745481,1.710687341,1.6485954252,0.9428563759,2.1884973708,2.496095793,-0.1074155127,1.8786833949,0.3270749228,4.8573652537,1
-642.1947473629,71.1994223153,-1.0752073574,11.2558165536,12.1849133583,-1.1276786599,0.6587954816,-0.2312434932,-4.3001820886,-0.9305246428,-2.384411958,0.8106920713,-1.3029998042,1.2021880297,-0.0385109777,0.8300402379,0.4737691512,0.0389162534,-1.5312218123,5.6475413232,1
-660.9603750703,72.7948875793,2.0097248082,15.4558533232,13.0732771338,-0.3743109515,4.0193738413,3.5208116977,-1.5503470129,0.4506977372,0.1164561357,2.88927491,0.7072706895,2.559571215,2.0250733595,2.2116207101,0.6838378792,0.969586998,-0.7708599045,5.0662503052,1
-640.0515150556,74.942997437,3.9750874895,12.0090518657,14.1756273292,2.3059034256,3.2238438421,1.7996570041,-1.4722403449,-0.6841852497,-0.2326150659,3.2295848689,1.703064972,2.014688093,2.5473213394,2.2027906291,-0.2312807474,0.3948979447,0.1159536345,3.811807285,1
-646.2215458596,73.1912318569,9.3975208321,16.5067697796,14.6676191387,5.5919863088,10.8015535675,-0.6601624155,-9.0699713039,4.3268296084,-0.2755488135,-1.9758091179,4.1780627914,3.1774150826,-2.2112484829,3.3257049122,-1.6873433878,0.6210648739,-3.9916208451,3.2291376794,1
-637.5272581936,72.2608674761,6.9758365963,15.7000539486,14.2973935593,6.355083705,12.4609760695,-2.1864995541,-9.9571690467,5.6814216921,1.5714744978,-0.4402053245,4.5942858304,3.2769679929,-2.4100751544,3.5758607,0.212993523,0.2329649107,-3.421589937,3.064278131,1
-649.6724030232,75.5877103222,10.8098563056,17.9352209029,18.6250294145,7.6706994122,10.3499197022,-2.0740646901,-7.1001475038,6.6774635582,0.2849153678,-0.5069728404,4.0801836452,4.2975390594,0.9399243845,2.932986767,-2.3887573033,1.3770995827,-3.0365519422,4.9023045365,1
-654.3566603674,69.3119580154,7.5023867081,16.5956106533,15.7397737069,4.8364000945,10.1801432936,1.7526279775,-4.7017640123,3.9136835408,2.5526831715,-0.12567344,3.9616130558,4.7103911254,-0.5485041729,2.1639074805,-1.3099397099,0.4493267484,-3.0159770342,3.5207083727,1
-608.5889351888,72.2611775411,10.5817495861,15.7241586513,11.3649559592,-3.166748669,4.0483426216,-2.5175080931,-8.7269318583,-0.1870119123,1.1822046509,-1.33833191,-1.6934463989,3.9177203539,-0.3422893904,0.2532094867,-1.8499138842,0.3652026371,0.169363472,1.1183846252,1
-614.5988406475,68.212395506,4.2916954906,11.4997752564,11.6385235452,-0.1696158908,0.2405701357,-5.0780020168,-10.2482521658,-0.6161112036,-0.0808689722,-1.882046693,-2.4992795811,2.232080381,-1.2256784397,-0.8617422228,-3.8991619978,-0.195295236,-1.1871193905,-0.4301210788,1
-600.1794011675,67.1221694672,5.3716236453,11.406911075,11.2579952078,-5.8671246928,2.6329614018,-1.6666942204,-9.3905774984,-1.4786605407,0.0142409029,-3.1215937737,-2.8182753155,2.5896365035,-1.5707041355,-1.2293376503,-3.306754433,-0.4733038053,-1.4102920385,0.6192150198,1
-613.9620466954,70.6885378949,4.8337322299,12.3657960934,10.1753142064,-2.5115529204,1.8294000206,-4.2931480216,-11.269132877,-1.9148306489,0.1940158312,-1.6024109931,-4.8363883428,1.5306654617,-0.9135951378,-0.1901404033,-1.6963503309,1.6648408351,-1.2812798998,0.4242682976,1
-704.1836778322,57.4809265724,22.0022400421,20.8822265695,11.3680080381,6.3442365719,4.7805307626,2.4473576042,-2.327832332,1.4237049162,2.1386108134,1.193300802,-2.1279268338,1.516901303,-0.730000602,5.3211385601,-0.2033069687,0.8462415654,-1.4939395356,2.1785629069,1
-706.9341059226,67.5812792897,28.1236689147,24.8635440619,15.2005975008,9.0120121994,5.3291050107,3.3611459019,-1.5598861257,3.0613029253,5.1884604305,3.4015384977,-2.1134103808,2.1804421889,-0.2485532072,5.9635763186,0.6167334362,2.7476181081,-1.9959389664,3.4092003312,1
-727.510552694,60.4339291866,24.0425813456,18.8972359805,12.5848787456,6.3236175247,6.2942902137,3.493441619,0.0166651792,1.526458839,2.4369406463,4.8032189691,-0.7070677595,2.5845857321,2.1436794436,4.95549832,-1.2829311573,3.9271176109,-1.0842748376,3.1349432517,1
-702.1555671123,63.1468001922,21.9002009189,16.8284217378,11.5174797785,7.165288292,6.8069738721,3.531970544,-2.3846398931,1.0425064026,2.3929043181,3.4552132461,-2.3926943318,2.215092485,1.2192309599,4.9740932509,-0.4743784933,3.2733333797,-2.5129974755,2.2388139712,1
-683.0578974428,62.4680381797,12.5510698373,18.4602354792,9.3597670296,0.291888856,5.3305918264,-8.8475514183,-1.7754305779,-2.5872771441,-0.5662653935,-1.9292298194,-1.6300321557,2.1955399052,-4.0379750743,0.316372274,-2.4322751698,3.4304053923,0.8263934308,1.3014818521,1
