feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,label
-641.2581169238,72.3670670822,4.8192655984,13.4318541591,13.1283887584,-0.0642049693,3.9980429433,0.2399819409,-3.5932296276,0.8766460277,-0.8336745481,1.710687341,1.6485954252,0.9428563759,2.1884973708,2.496095793,-0.1074155127,1.8786833949,0.3270749228,4.8573652537,-4.053232869,2.1343592961,-1.976162116,0.2994182319,-2.3617362852,0.2784486629,-0.3729328961,0.0368980761,-0.2857006466,0.7533963618,0.0819454397,1.2210312621,-1.5264687571,0.3462835358,-1.3050423111,0.8389545895,-0.6664787936,0.2725848612,-0.0946978284,-0.4165922544,-0.5623230108,-0.4341017453,-0.9829392368,1.6306614165,-0.2856010212,1.0632440211,-0.6281680269,2.4951717643,1.1178263767,2.7746663966,1
-642.1947473629,71.1994223153,-1.0752073574,11.2558165536,12.1849133583,-1.1276786599,0.6587954816,-0.2312434932,-4.3001820886,-0.9305246428,-2.384411958,0.8106920713,-1.3029998042,1.2021880297,-0.0385109777,0.8300402379,0.4737691512,0.0389162534,-1.5312218123,5.6475413232,-3.1118450326,1.7745469975,-1.4834396047,0.4197154975,-2.4178760003,-0.1713393644,-0.8802182082,-0.2870891463,-1.0958155252,0.6267089215,0.387873159,0.9719491859,-0.9652507186,1.087651388,-1.4175511457,0.3642835679,-0.3335450686,0.3912291879,0.3113661641,0.7373972371,-0.4955028998,1.1462325874,0.5214099562,3.3037164476,0.9503475005,1.7754790757,-0.6513233433,1.6751470312,0.2404777454,1.7143578985,1
-660.9603750703,72.7948875793,2.0097248082,15.4558533232,13.0732771338,-0.3743109515,4.0193738413,3.5208116977,-1.5503470129,0.4506977372,0.1164561357,2.88927491,0.7072706895,2.559571215,2.0250733595,2.2116207101,0.6838378792,0.969586998,-0.7708599045,5.0662503052,-2.8702647433,2.5238711018,-1.3105744752,0.7559230347,-1.4474664347,-0.1854083206,-1.0002667299,0.1811361237,-0.0254146433,0.977328285,0.5691357612,2.320276512,-1.1813477506,1.7405208271,-1.0187201529,0.7604230124,-0.3055035101,0.5750715779,-0.2820547927,-0.151594965,-1.4473628194,-0.1765641699,-1.7219687998,0.3534291989,-1.5917961879,0.0581277766,-1.1609745619,2.1742187259,2.1466515408,3.8480669091,1
-640.0515150556,74.942997437,3.9750874895,12.0090518657,14.1756273292,2.3059034256,3.2238438421,1.7996570041,-1.4722403449,-0.6841852497,-0.2326150659,3.2295848689,1.703064972,2.014688093,2.5473213394,2.2027906291,-0.2312807474,0.3948979447,0.1159536345,3.811807285,-3.0363415047,2.1666813231,-2.1621696062,-0.2072261613,-2.5476949481,-0.7100470584,-1.1196192757,-0.6910838003,-0.0672733529,0.1549648928,-0.4277596167,0.5262144816,-0.9995113835,1.3197961679,-1.2544103912,1.057339377,0.1077531422,0.7255292623,0.3515768099,0.4352885984,-0.2163258578,0.2575463359,-1.0117593906,1.6947471227,-0.7343512286,1.5869115813,-0.3191631017,2.1113357093,0.4867133843,1.4128817951,1
-646.2215458596,73.1912318569,9.3975208321,16.5067697796,14.6676191387,5.5919863088,10.8015535675,-0.6601624155,-9.0699713039,4.3268296084,-0.2755488135,-1.9758091179,4.1780627914,3.1774150826,-2.2112484829,3.3257049122,-1.6873433878,0.6210648739,-3.9916208451,3.2291376794,-2.1939066105,0.551048459,-1.8322646292,1.4498761101,-2.4205362765,1.3209133058,-1.2594742715,-0.6398112416,-2.2504495839,-2.1715499095,-0.6755836469,0.2489810008,-1.015819378,0.964537932,-2.5058839635,-1.1302972304,-2.8863753569,0.2576069433,-2.2667241876,-0.2863621298,-2.2230688436,0.3047436758,-0.9044081685,-2.2774674687,-1.6554853532,-0.9319697854,-1.1157803744,-1.6967485434,-2.6160724327,-1.3593586956,1
-637.5272581936,72.2608674761,6.9758365963,15.7000539486,14.2973935593,6.355083705,12.4609760695,-2.1864995541,-9.9571690467,5.6814216921,1.5714744978,-0.4402053245,4.5942858304,3.2769679929,-2.4100751544,3.5758607,0.212993523,0.2329649107,-3.421589937,3.064278131,-2.1486896284,1.2547032036,-0.6348412043,0.9474420988,-2.0569381574,0.9594275614,-1.4674676281,0.1427154251,-1.0268099224,-1.9519441292,-0.7593349882,0.1915293039,-0.5716038791,1.5949721535,-0.8436700859,-0.5011801633,-1.9305089966,-0.2304783689,-1.5985009941,-0.8419329649,-1.5163450703,-0.0153111051,-1.3651315348,-2.971181108,-2.6741009997,-1.9965538542,-1.1933972879,-1.2145758545,-3.5546915465,-1.197507284,1
-649.6724030232,75.5877103222,10.8098563056,17.9352209029,18.6250294145,7.6706994122,10.3499197022,-2.0740646901,-7.1001475038,6.6774635582,0.2849153678,-0.5069728404,4.0801836452,4.2975390594,0.9399243845,2.932986767,-2.3887573033,1.3770995827,-3.0365519422,4.9023045365,-2.2505856578,1.5808384892,-1.3076472508,-0.2195655482,-2.4507530056,0.9806302751,0.6192202838,-0.4659952856,-1.8636794704,-1.6578190423,-0.6917661802,-0.2254031135,-0.7008062786,1.6065765729,-1.230964515,-0.3729512585,-2.2160477359,-0.235896518,-2.2080309595,-0.7397209513,-2.8135734139,-0.6171953883,-1.686063625,-2.1421493992,-2.7606580212,-0.9937719071,-1.1270266208,-1.021542582,-1.6877418584,-0.2470210259,1
-654.3566603674,69.3119580154,7.5023867081,16.5956106533,15.7397737069,4.8364000945,10.1801432936,1.7526279775,-4.7017640123,3.9136835408,2.5526831715,-0.12567344,3.9616130558,4.7103911254,-0.5485041729,2.1639074805,-1.3099397099,0.4493267484,-3.0159770342,3.5207083727,-2.2809494033,1.1663814395,-1.6214298968,1.025208461,-0.6917090743,1.1055327057,-1.7756130313,0.9090999995,-0.8030348703,-1.7686999162,-0.4623686377,0.5128910531,-0.7535580581,0.7832020084,-0.7173781269,-0.686949475,-0.7893884522,0.8067958277,-1.4381340611,0.2220035301,-2.0646580193,0.5936804432,-1.0598842729,-1.0087732375,-1.8925623268,0.0264727665,-0.7964095984,-1.0846997554,-2.1783113789,-0.9800527772,1
-608.5889351888,72.2611775411,10.5817495861,15.7241586513,11.3649559592,-3.166748669,4.0483426216,-2.5175080931,-8.7269318583,-0.1870119123,1.1822046509,-1.33833191,-1.6934463989,3.9177203539,-0.3422893904,0.2532094867,-1.8499138842,0.3652026371,0.169363472,1.1183846252,-2.9739416242,0.181062992,-1.6275789807,-2.0167404826,-3.3544340476,-0.377213541,-2.9617655888,-1.081658251,-1.6789636533,1.1857066942,-0.117601922,-0.3187386409,-2.0068892715,-1.1757201865,-1.4110354045,-0.5679180219,-1.4936762467,-1.7546323927,-3.0161627417,-1.4566417208,-2.098474814,-1.0691666863,-2.1640160781,-1.8126646642,-3.5930158814,-1.2968859539,-2.8809485616,-1.6146312544,-2.0570286119,-1.3005866539,1
-614.5988406475,68.212395506,4.2916954906,11.4997752564,11.6385235452,-0.1696158908,0.2405701357,-5.0780020168,-10.2482521658,-0.6161112036,-0.0808689722,-1.882046693,-2.4992795811,2.232080381,-1.2256784397,-0.8617422228,-3.8991619978,-0.195295236,-1.1871193905,-0.4301210788,-4.2546683407,-1.5511828762,-2.0112935185,-3.3885159845,-4.6578062532,-1.2696573629,-2.8096063165,-1.2179291258,-2.7144906374,1.078399669,-1.5238292563,-1.3688967334,-3.2609391228,-1.4842873261,-1.7363678837,-0.720719879,-1.8882656285,-1.9951958206,-3.0074780271,-1.6603593639,-2.4985195212,-0.6789853286,-1.9503076009,-1.5375087161,-3.0892116011,-1.1519532516,-2.3059680624,-1.2549938559,-1.4696584734,-1.8005540915,1
